job,number,place,pub_time,title
技术类,2,深圳,2019-04-28,25923-手游网络加速移动客户端开发（深圳）
技术类,3,深圳,2019-04-28,TEG04-腾讯微校Web前端开发（深圳）
市场类,1,长沙,2019-04-28,25666-华南区域政府行业销售（长沙）
产品/项目类,7,北京,2019-04-28,23671-企鹅号品类经理（北京）
技术类,1,深圳,2019-04-28,30359-视频业务运维工程师
技术类,2,深圳,2019-04-28,PCG16-波洞后台高级开发工程师
技术类,1,深圳,2019-04-28,CSIG16-腾讯车联测试项目经理（深圳）
市场类,1,北京,2019-04-28,CSIG16-车联网商务经理（北京）
市场类,1,深圳,2019-04-28,23294-互娱动漫品牌经理（深圳）
设计类,2,深圳,2019-04-28,18302-《一起来捉妖》资深3D动画设计师（深圳）
技术类,3,深圳,2019-04-28,18302-《一起来捉妖》-高级客户端工程师(深圳)
产品/项目类,1,上海,2019-04-28,15618-游戏交互策划（上海）
内容编辑类,1,北京,2019-04-28,23673-微信看一看招热点运营编辑
设计类,3,深圳,2019-04-28,18302-《一起来捉妖》手游资深3D角色设计师（深圳）
技术类,2,深圳,2019-04-28,18302-《一起来捉妖》高级游戏后台开发工程师（深圳）
技术类,1,深圳,2019-04-28,18302-《一起来捉妖》-Unity引擎工程师（深圳）
技术类,1,深圳,2019-04-28,PCG16-波洞移动端iOS开发工程师
产品/项目类,1,深圳,2019-04-28,18302-《一起来捉妖》平台运营策划（深圳）
设计类,2,深圳,2019-04-28,18302-《一起来捉妖》资深特效设计师（深圳）
市场类,1,深圳,2019-04-28,25666-销售规划高级运营（深圳）
市场类,1,深圳,2019-04-28,27016-商业分析经理（深圳）
技术类,1,深圳,2019-04-28,30933-开放世界游戏-UE4客户端研发工程师
设计类,2,深圳,2019-04-28,18302-《一起来捉妖》高级角色原画设计师（深圳）
市场类,1,深圳,2019-04-28,HY3-互娱数据分析经理（深圳）
市场类,1,北京,2019-04-28,25666-销售规划高级运营（北京）
产品/项目类,1,上海,2019-04-28,27570-沙盒游戏内容运营
产品/项目类,1,上海,2019-04-28,21229-暗黑手游运营经理
技术类,2,深圳,2019-04-28,30359-短视频业务运维工程师
市场类,1,北京,2019-04-28,30625-腾讯广告方案高级策划经理-金融方向（北京）
市场类,1,深圳,2019-04-28,25666-互联网KA销售
产品/项目类,2,北京,2019-04-28,28313-自制影视剧制片人
产品/项目类,1,深圳,2019-04-28,28600-微信支付费用管理经理（深圳）
产品/项目类,2,深圳,2019-04-28,15585-手游文案策划(深圳)
市场类,1,北京,2019-04-28,25666-互联网KA销售
内容编辑类,1,北京,2019-04-28,16810-小说漫改责任编辑
设计类,2,深圳,2019-04-28,29923-高级视觉设计师
产品/项目类,1,深圳,2019-04-28,21227-移动游戏高级运营PM-RPG方向（深圳）
技术类,1,北京,2019-04-28,23486-自选股Android客户端高级工程师
技术类,2,深圳,2019-04-28,18427-理财通后台开发工程师
技术类,1,深圳,2019-04-28,CSIG17-云网络产品测试高级工程师
技术类,1,深圳,2019-04-28,PCG04-腾讯文档测试开发工程师（深圳）
产品/项目类,1,北京,2019-04-28,30625-腾讯广告教育行业运营经理
技术类,1,北京,2019-04-28,CSIG15-翻译君后台开发工程师
技术类,1,深圳,2019-04-28,CSIG17-X86体系结构工程师
